"Quick Links","Quick Links"
"BroCode Quick Links","BroCode Quick Links"
"Add or remove this page from your quick links","Add or remove this page from your quick links"
"Quick link for this page","Quick link for this page"
"More quick links","More quick links"
"Manage quick links","Manage quick links"
"Click the star in the admin header on any page to add it here. Pinned links show as buttons in the header, the others in the star dropdown. Drag a row, or use the arrows, to change the order.","Click the star in the admin header on any page to add it here. Pinned links show as buttons in the header, the others in the star dropdown. Drag a row, or use the arrows, to change the order."
"You have no quick links yet.","You have no quick links yet."
"Drag to reorder","Drag to reorder"
"Move up","Move up"
"Move down","Move down"
"External","External"
"Label","Label"
"URL","URL"
"Save","Save"
"Cancel","Cancel"
"Show in header","Show in header"
"Edit","Edit"
"Delete","Delete"
"Add a custom link","Add a custom link"
"Add link","Add link"
"Paste any admin URL or an external http(s) link. Admin URLs are stored without their session key and keep working after you log in again.","Paste any admin URL or an external http(s) link. Admin URLs are stored without their session key and keep working after you log in again."
"Only absolute http:// or https:// URLs can be saved as quick links.","Only absolute http:// or https:// URLs can be saved as quick links."
"The URL is longer than %1 characters.","The URL is longer than %1 characters."
"The URL does not point at a known admin page.","The URL does not point at a known admin page."
"Could not save the quick link.","Could not save the quick link."
"The quick link does not exist.","The quick link does not exist."
"Could not delete the quick link.","Could not delete the quick link."
"The label must be between 1 and %1 characters.","The label must be between 1 and %1 characters."
"The quick link needs a URL.","The quick link needs a URL."
"The quick link must belong to an admin user.","The quick link must belong to an admin user."
"Enter the URL of the quick link.","Enter the URL of the quick link."
"The quick link could not be saved.","The quick link could not be saved."
"The request failed. Please try again.","The request failed. Please try again."
"Delete the quick link ""%1""?","Delete the quick link ""%1""?"
"Unsupported quick link implementation %1.","Unsupported quick link implementation %1."
"Order","Order"
"Link","Link"
"Actions","Actions"
